brand,screen,battery,ram,camera,storage,price,phone_name,brand_photo,phone_photo
Samsung,6.6,6000,8,50.0,256,520.0,Samsung Galaxy M35,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/61839-samsung-galaxy-m35.jpg
Samsung,6.7,5000,8,50.0,128,560.0,Samsung Galaxy M55,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/60095-samsung-galaxy-m55.jpg
Samsung,6.7,5000,8,50.0,128,300.0,Samsung Galaxy F55,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/61419-samsung-galaxy-f55.jpg
Samsung,6.5,6000,4,50.0,128,173.87,Samsung Galaxy M15,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/59559-samsung-galaxy-m15.jpg
Samsung,6.6,6000,4,50.0,128,150.0,Samsung Galaxy F15,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/59415-samsung-galaxy-f15.jpg
Samsung,6.6,5000,6,50.0,128,322.99,Samsung Galaxy A55,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/59523-samsung-galaxy-a55.jpg
Samsung,6.6,4050,4,50.0,64,280.33,Samsung Galaxy Xcover7,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/58281-samsung-galaxy-xcover7.jpg
Samsung,6.2,4000,8,50.0,128,673.98,Samsung Galaxy S24,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/58591-samsung-galaxy-s24.jpg
Samsung,6.7,4900,12,50.0,256,599.0,Samsung Galaxy S24+,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/58611-samsung-galaxy-s24-plus.jpg
Samsung,6.8,5000,12,200.0,256,1049.0,Samsung Galaxy S24 Ultra,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/58631-samsung-galaxy-s24-ultra.jpg
Samsung,6.6,5000,6,50.0,128,238.0,Samsung Galaxy A35,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/59539-samsung-galaxy-a35.jpg
Samsung,6.5,5000,4,50.0,128,156.87,Samsung Galaxy A15 5G,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/57603-samsung-galaxy-a15-5g.jpg
Samsung,6.5,5000,4,50.0,128,116.0,Samsung Galaxy A15,https://cdn.kalvo.com/lib/img/brands/samsung.svg,https://cdn.kalvo.com/uploads/img/large/57617-samsung-galaxy-a15.jpg
Apple,6.1,3349,6,48.0,128,703.49,Apple iPhone 15,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/55287-apple-iphone-15.jpg
Apple,6.7,4383,6,48.0,128,926.0,Apple iPhone 15 Plus,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/55267-apple-iphone-15-plus.jpg
Apple,6.1,3274,8,48.0,128,969.5,Apple iPhone 15 Pro,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/55231-apple-iphone-15-pro.jpg
Apple,6.7,4441,8,48.0,256,1117.15,Apple iPhone 15 Pro Max,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/55263-apple-iphone-15-pro-max.jpg
Apple,6.7,4323,6,12.0,128,623.39,Apple iPhone 14 Plus,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/apple-iphone-14-plus.jpg
Apple,6.1,3279,6,12.0,128,563.99,Apple iPhone 14,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/apple-iphone-14.jpg
Apple,6.1,3200,6,48.0,128,778.0,Apple iPhone 14 Pro,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/apple-iphone-14-pro.jpg
Apple,6.7,4323,6,48.0,128,869.0,Apple iPhone 14 Pro Max,https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/58767-apple-iphone-14-pro-max.jpg
Apple,4.7,2018,4,12.0,64,179.0,Apple iPhone SE (2022),https://cdn.kalvo.com/lib/img/brands/apple.svg,https://cdn.kalvo.com/uploads/img/large/apple-iphone-se-2022.jpg
